GROUP,TOPIC,PARTITION,CURRENT-OFFSET,LOG-END-OFFSET,LAG
demo-consumer-group,topic-1000,434,36,36,0
demo-consumer-group,topic-1000,150,35,37,2
demo-consumer-group,topic-1000,444,41,41,0
demo-consumer-group,topic-1000,690,37,37,0
demo-consumer-group,topic-1000,736,36,37,1
demo-consumer-group,topic-1000,78,45,49,4
demo-consumer-group,topic-10,1,5241,5554,313
demo-consumer-group,topic-1000,103,31,31,0
demo-consumer-group,topic-1000,98,29,31,2
demo-consumer-group,topic-1000,354,23,26,3
demo-consumer-group,topic-1000,615,40,41,1
demo-consumer-group,topic-1000,87,30,30,0
demo-consumer-group,topic-1000,142,46,47,1
demo-consumer-group,topic-1000,751,38,40,2
demo-consumer-group,topic-1000,286,38,40,2
demo-consumer-group,topic-1000,418,39,41,2
demo-consumer-group,topic-1000,180,35,35,0
demo-consumer-group,topic-1000,896,34,36,2
demo-consumer-group,topic-1000,908,33,33,0
demo-consumer-group,topic-1000,362,34,35,1
demo-consumer-group,topic-1000,551,31,32,1
demo-consumer-group,topic-1000,350,35,36,1
demo-consumer-group,topic-1000,982,33,35,2
demo-consumer-group,topic-1000,787,37,37,0
demo-consumer-group,topic-1000,82,30,30,0
demo-consumer-group,topic-1000,466,44,46,2
demo-consumer-group,topic-1000,900,40,40,0
demo-consumer-group,topic-1000,567,36,36,0
demo-consumer-group,topic-1000,33,34,34,0
demo-consumer-group,topic-1000,978,25,31,6
demo-consumer-group,topic-1000,232,30,31,1
demo-consumer-group,topic-1000,107,45,46,1
demo-consumer-group,topic-1000,495,33,33,0
demo-consumer-group,topic-1000,184,37,37,0
demo-consumer-group,topic-1000,640,24,25,1
demo-consumer-group,topic-1000,271,25,29,4
demo-consumer-group,topic-1000,631,41,42,1
demo-consumer-group,topic-1000,146,41,42,1
demo-consumer-group,topic-1000,94,40,41,1
demo-consumer-group,topic-1000,83,40,42,2
demo-consumer-group,topic-1000,619,43,44,1
demo-consumer-group,topic-1000,683,35,36,1
demo-consumer-group,topic-1000,687,31,33,2
demo-consumer-group,topic-1000,252,26,28,2
demo-consumer-group,topic-1000,167,37,39,2
demo-consumer-group,topic-1000,30,35,35,0
demo-consumer-group,topic-1000,289,39,39,0
demo-consumer-group,topic-1000,124,40,40,0
demo-consumer-group,topic-1000,426,31,33,2
demo-consumer-group,topic-1000,171,38,41,3
demo-consumer-group,topic-1000,239,41,42,1
demo-consumer-group,topic-1000,644,33,34,1
demo-consumer-group,topic-1000,133,38,43,5
demo-consumer-group,topic-1000,842,43,45,2
demo-consumer-group,topic-1000,5,37,40,3
demo-consumer-group,topic-1000,817,38,41,3
demo-consumer-group,topic-1000,592,35,35,0
demo-consumer-group,topic-1000,568,35,38,3
demo-consumer-group,topic-1000,231,38,38,0
demo-consumer-group,topic-1000,775,44,46,2
demo-consumer-group,topic-1000,977,43,45,2
demo-consumer-group,topic-1000,47,30,32,2
demo-consumer-group,topic-1000,137,33,33,0
demo-consumer-group,topic-1000,454,46,47,1
demo-consumer-group,topic-1000,112,39,41,2
demo-consumer-group,topic-1000,97,43,44,1
demo-consumer-group,topic-1000,530,39,39,0
demo-consumer-group,topic-1000,255,30,30,0
demo-consumer-group,topic-1000,716,34,37,3
demo-consumer-group,topic-1000,390,26,27,1
demo-consumer-group,topic-1000,324,30,32,2
demo-consumer-group,topic-1000,514,38,38,0
demo-consumer-group,topic-1000,196,29,31,2
demo-consumer-group,topic-1000,511,34,35,1
demo-consumer-group,topic-1000,123,34,36,2
demo-consumer-group,topic-1000,470,43,44,1
demo-consumer-group,topic-1000,588,41,43,2
demo-consumer-group,topic-1000,552,26,29,3
demo-consumer-group,topic-1000,336,47,49,2
demo-consumer-group,topic-1000,69,32,33,1
demo-consumer-group,topic-1000,340,29,29,0
demo-consumer-group,topic-1000,345,27,27,0
demo-consumer-group,topic-1000,967,36,38,2
demo-consumer-group,topic-1000,392,34,36,2
demo-consumer-group,topic-1000,26,43,45,2
demo-consumer-group,topic-1000,760,34,35,1
demo-consumer-group,topic-1000,396,36,37,1
demo-consumer-group,topic-1000,353,34,36,2
demo-consumer-group,topic-1000,846,39,39,0
demo-consumer-group,topic-1000,860,35,35,0
demo-consumer-group,topic-1000,597,30,30,0
demo-consumer-group,topic-1000,809,33,34,1
demo-consumer-group,topic-1000,856,39,44,5
demo-consumer-group,topic-1000,954,35,38,3
demo-consumer-group,topic-1000,838,32,34,2
demo-consumer-group,topic-1000,12,36,38,2
demo-consumer-group,topic-1000,606,35,36,1
demo-consumer-group,topic-1000,247,43,46,3
demo-consumer-group,topic-1000,822,22,23,1
demo-consumer-group,topic-1000,463,38,40,2
demo-consumer-group,topic-1000,610,28,30,2
demo-consumer-group,topic-1000,702,43,44,1
demo-consumer-group,topic-1000,19,31,33,2
demo-consumer-group,topic-1000,844,37,38,1
demo-consumer-group,topic-1000,850,28,31,3
demo-consumer-group,topic-1000,700,37,39,2
demo-consumer-group,topic-1000,652,28,28,0
demo-consumer-group,topic-1000,755,44,44,0
demo-consumer-group,topic-1000,874,27,27,0
demo-consumer-group,topic-1000,648,37,38,1
demo-consumer-group,topic-1000,267,49,49,0
demo-consumer-group,topic-1000,445,32,33,1
demo-consumer-group,topic-1000,723,47,48,1
demo-consumer-group,topic-1000,581,26,27,1
demo-consumer-group,topic-1000,810,42,43,1
demo-consumer-group,topic-1000,864,39,41,2
demo-consumer-group,topic-1000,368,31,33,2
demo-consumer-group,topic-1000,741,39,39,0
demo-consumer-group,topic-10,6,5305,5657,352
demo-consumer-group,topic-1000,513,35,35,0
demo-consumer-group,topic-1000,570,30,31,1
demo-consumer-group,topic-1000,536,41,43,2
demo-consumer-group,topic-1000,189,30,32,2
demo-consumer-group,topic-1000,310,32,34,2
demo-consumer-group,topic-1000,554,29,32,3
demo-consumer-group,topic-1000,520,43,45,2
demo-consumer-group,topic-10,8,5381,5734,353
demo-consumer-group,topic-1000,926,40,41,1
demo-consumer-group,topic-1000,715,33,34,1
demo-consumer-group,topic-1000,934,27,29,2
demo-consumer-group,topic-1000,372,35,36,1
demo-consumer-group,topic-1000,58,35,35,0
demo-consumer-group,topic-1000,484,38,39,1
demo-consumer-group,topic-1000,433,42,42,0
demo-consumer-group,topic-1000,529,50,51,1
demo-consumer-group,topic-1000,459,46,46,0
demo-consumer-group,topic-1000,282,43,43,0
demo-consumer-group,topic-1000,763,30,31,1
demo-consumer-group,topic-1000,437,37,38,1
demo-consumer-group,topic-1000,305,40,43,3
demo-consumer-group,topic-1000,868,28,32,4
demo-consumer-group,topic-1000,936,38,39,1
demo-consumer-group,topic-1000,749,36,37,1
demo-consumer-group,topic-1000,248,36,38,2
demo-consumer-group,topic-1000,176,48,48,0
demo-consumer-group,topic-1000,108,34,36,2
demo-consumer-group,topic-1000,344,41,42,1
demo-consumer-group,topic-1000,237,31,31,0
demo-consumer-group,topic-1000,915,40,43,3
demo-consumer-group,topic-1000,493,37,40,3
demo-consumer-group,topic-1000,352,36,39,3
demo-consumer-group,topic-1000,638,34,36,2
demo-consumer-group,topic-1000,329,37,40,3
demo-consumer-group,topic-1000,356,41,43,2
demo-consumer-group,topic-1000,500,38,38,0
demo-consumer-group,topic-1000,999,43,44,1
demo-consumer-group,topic-1000,952,31,32,1
demo-consumer-group,topic-1000,197,33,36,3
demo-consumer-group,topic-1000,563,48,49,1
demo-consumer-group,topic-1000,65,28,31,3
demo-consumer-group,topic-1000,547,20,21,1
demo-consumer-group,topic-1000,944,36,37,1
demo-consumer-group,topic-1000,76,33,35,2
demo-consumer-group,topic-1000,960,33,36,3
demo-consumer-group,topic-1000,824,38,41,3
